Entity ID,Acquisition Date,Publication Date,Resolution,Date Updated,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
SRTM1N00E107V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.539245-05,1°00'00"N,107°00'00"E,1°00'00"N,108°00'00"E,0°00'00"N,108°00'00"E,0°00'00"N,107°00'00"E,1,107,1,108,0,108,0,107,SRTM1N00E107V3,SRTM1N00E107V3
SRTM1N00E108V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 03:57:12.672229-05,1°00'00"N,108°00'00"E,1°00'00"N,109°00'00"E,0°00'00"N,109°00'00"E,0°00'00"N,108°00'00"E,1,108,1,109,0,109,0,108,SRTM1N00E108V3,SRTM1N00E108V3
SRTM1N00E109V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.539245-05,1°00'00"N,109°00'00"E,1°00'00"N,110°00'00"E,0°00'00"N,110°00'00"E,0°00'00"N,109°00'00"E,1,109,1,110,0,110,0,109,SRTM1N00E109V3,SRTM1N00E109V3
SRTM1N00E110V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.539245-05,1°00'00"N,110°00'00"E,1°00'00"N,111°00'00"E,0°00'00"N,111°00'00"E,0°00'00"N,110°00'00"E,1,110,1,111,0,111,0,110,SRTM1N00E110V3,SRTM1N00E110V3
SRTM1N00E111V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.539245-05,1°00'00"N,111°00'00"E,1°00'00"N,112°00'00"E,0°00'00"N,112°00'00"E,0°00'00"N,111°00'00"E,1,111,1,112,0,112,0,111,SRTM1N00E111V3,SRTM1N00E111V3
SRTM1N00E112V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.539245-05,1°00'00"N,112°00'00"E,1°00'00"N,113°00'00"E,0°00'00"N,113°00'00"E,0°00'00"N,112°00'00"E,1,112,1,113,0,113,0,112,SRTM1N00E112V3,SRTM1N00E112V3
SRTM1N00E113V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.539245-05,1°00'00"N,113°00'00"E,1°00'00"N,114°00'00"E,0°00'00"N,114°00'00"E,0°00'00"N,113°00'00"E,1,113,1,114,0,114,0,113,SRTM1N00E113V3,SRTM1N00E113V3
SRTM1N00E114V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 19:47:47.401611-05,1°00'00"N,114°00'00"E,1°00'00"N,115°00'00"E,0°00'00"N,115°00'00"E,0°00'00"N,114°00'00"E,1,114,1,115,0,115,0,114,SRTM1N00E114V3,SRTM1N00E114V3
SRTM1N00E115V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 19:47:47.401611-05,1°00'00"N,115°00'00"E,1°00'00"N,116°00'00"E,0°00'00"N,116°00'00"E,0°00'00"N,115°00'00"E,1,115,1,116,0,116,0,115,SRTM1N00E115V3,SRTM1N00E115V3
SRTM1N00E116V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 19:47:47.401611-05,1°00'00"N,116°00'00"E,1°00'00"N,117°00'00"E,0°00'00"N,117°00'00"E,0°00'00"N,116°00'00"E,1,116,1,117,0,117,0,116,SRTM1N00E116V3,SRTM1N00E116V3
